position,data/towovabiqe,data/towovabiqe-inverted,data/current
0,0,0,23714.43287904314
1,26884,0,23606.05828834173
2,26883,1,23498.39904668507
3,26801,83,23391.445772344836
4,0,0,23285.189266951555
5,26630,254,23179.620510747394
6,0,0,23074.73065799158
7,26383,501,22970.51103251256
8,26382,502,22866.95312340146
9,0,0,22764.048580841307
10,0,0,22661.78921206705
11,26081,803,22560.166977451445
12,0,0,22459.173986712085
13,25963,921,22358.802495235188
14,25962,922,22259.044900511748
15,25642,1242,22159.893738682065
16,0,0,22061.341681184666
17,25481,1403,21963.381531505816
18,0,0,21866.00622202612
19,25183,1701,21769.20881096065
20,0,0,21672.982479389382
21,25181,1703,21577.320528374654
22,0,0,21482.216376162753
23,24871,2013,21387.66355546652
24,0,0,21293.65571082635
25,24730,2154,21200.18659604675
26,0,0,21107.250071705974
27,24581,2303,21014.84010273618
28,0,0,20922.950756071754
29,0,0,20831.57619836352
30,24580,2304,20740.710693756635
31,24512,2372,20650.348601729987
32,0,0,20560.484374995194
33,0,0,20471.112557453067
34,0,0,20382.22778220587
35,24511,2373,20293.82476962333
36,24509,2375,20205.898325460887
37,24281,2603,20118.443339028305
38,24280,2604,20031.454781407178
39,24187,2697,19944.927703715697
40,0,0,19858.857235419197
41,23998,2886,19773.238582685055
42,0,0,19688.067026780544
43,23842,3042,19603.337922512288
44,23841,3043,19519.046696706082
45,23787,3097,19435.1888467257
46,23786,3098,19351.75993902973
47,23681,3203,19268.755607764968
48,23680,3204,19186.171553395558
49,23549,3335,19104.003541366583
50,0,0,19022.247400801178
51,23247,3637,18940.899023230137
52,23141,3743,18859.95436135304
53,23140,3744,18779.409427829964
54,23013,3871,18699.26029410287
55,22998,3886,18619.50308924587
56,0,0,18540.13399884337
57,22721,4163,18461.149263895448
58,0,0,18382.545179749617
59,0,0,18304.318095058126
60,0,0,18226.464410760243
61,0,0,18148.98057908865
62,22627,4257,18071.863102599345
63,0,0,17995.108533224367
64,22347,4537,17918.71347134673
65,0,0,17842.674564896875
66,22205,4679,17766.988508470124
67,22201,4683,17691.6520424645
68,0,0,17616.661952238373
69,22117,4767,17542.015067287382
70,0,0,17467.7082604401
71,21940,4944,17393.73844707194
72,0,0,17320.102584336826
73,21881,5003,17246.79767041607
74,0,0,17173.820743784156
75,21866,5018,17101.168882490754
76,21759,5125,17028.83920345877
77,21671,5213,16956.82886179779
78,21569,5315,16885.135050132692
79,0,0,16813.754997946904
80,21474,5410,16742.685970939994
81,0,0,16671.92527039917
82,21375,5509,16601.470232584383
83,21184,5700,16531.318228126638
84,21065,5819,16461.466661439197
85,21032,5852,16391.912970141304
86,0,0,16322.654624494216
87,20942,5942,16253.68912684908
88,0,0,16185.014011106483
89,20856,6028,16116.626842187312
90,0,0,16048.525215514668
91,20770,6114,15980.706756506544
92,0,0,15913.169120079028
93,20710,6174,15845.909990159704
94,0,0,15778.927079211104
95,20564,6320,15712.218127763854
96,0,0,15645.780903959361
97,20176,6708,15579.61320310176
98,19868,7016,15513.712847218923
99,0,0,15448.07768463228
100,19658,7226,15382.705589535299
101,19657,7227,15317.594461580335
102,19508,7376,15252.742225473736
103,19269,7615,15188.146830578919
104,19266,7618,15123.806250527328
105,0,0,15059.718482836995
106,19240,7644,14995.881548538577
107,0,0,14932.293491808694
108,19165,7719,14868.95237961037
109,0,0,14805.856301340436
110,19012,7872,14743.003368483738
111,19008,7876,14680.391714273965
112,0,0,14618.01949336096
113,18985,7899,14555.884881484391
114,18778,8106,14493.986075153593
115,0,0,14432.321291333466
116,18535,8349,14370.8887671363
117,17934,8950,14309.686759519367
118,17877,9007,14248.713544988172
119,17876,9008,14187.967419305229
120,17755,9129,14127.446697204246
121,17710,9174,14067.14971210959
122,0,0,14007.074815860906
123,17475,9409,13947.220378442806
124,17428,9456,13887.584787719494
125,0,0,13828.166449174225
126,17407,9477,13768.963785653485
127,17298,9586,13709.97523711581
128,17203,9681,13651.199260385123
129,0,0,13592.634328908503
130,17093,9791,13534.278932518278
131,17087,9797,13476.131577198372
132,0,0,13418.190784854796
133,16943,9941,13360.4550930902
134,16854,10030,13302.923054982404
135,16827,10057,13245.593238866813
136,0,0,13188.464228122664
137,16814,10070,13131.534620962973
138,16741,10143,13074.803030228159
139,16303,10581,13018.268083183237
140,0,0,12961.928421318507
141,15790,11094,12905.782700153695
142,0,0,12849.829589045417
143,0,0,12794.067770997975
144,15738,11146,12738.495942477346
145,15626,11258,12683.112813228341
146,0,0,12627.91710609486
147,15578,11306,12572.907556843174
148,15562,11322,12518.082913988179
149,15519,11365,12463.441938622556
150,15402,11482,12408.983404248791
151,0,0,12354.706096613978
152,15136,11748,12300.60881354738
153,15081,11803,12246.690364800656
154,0,0,12192.949571890726
